Title,Location,Price,Area
                        Studio Schilperoortstraat                            ,            3082 SX Rotterdam (Oud Charlois)        ,                €925 per month            ,20 m²
                        Apartment Sourystraat                            ,            3039 ST Rotterdam (Blijdorp)        ,"                €1,450 per month            ",100 m²
                        House Bergse Plaslaan 12                            ,            3054 AR Rotterdam (Hillegersberg Noord)        ,"                €3,000 per month            ",120 m²
                        Apartment Charloisse Hoofd                            ,            3087 CA Rotterdam (Oud Charlois)        ,"                €1,895 per month            ",100 m²
                        Apartment Zweedsestraat 155 B1                            ,            3028 TT Rotterdam (Oud Mathenesse)        ,                €950 per month            ,84 m²
                        Apartment Willem van Boelrestraat                            ,            3067 LM Rotterdam (Het Lage Land)        ,"                €1,300 per month            ",85 m²
                        Apartment Dorpsweg                            ,            3083 LH Rotterdam (Carnisse)        ,                €620 per month            ,57 m²
                        Apartment Dorpsweg                            ,            3083 LA Rotterdam (Oud Charlois)        ,                €645 per month            ,75 m²
                        Apartment Maximiliaanstraat                            ,            3082 EC Rotterdam (Oud Charlois)        ,                €880 per month            ,65 m²
                        Apartment Wilhelminakade                            ,            3072 AP Rotterdam (Kop van Zuid)        ,"                €1,550 per month            ",60 m²
                        Apartment Spangesekade                            ,            3027 GK Rotterdam (Spangen)        ,"                €1,395 per month            ",70 m²
                        Apartment West-Varkenoordseweg                            ,            3074 HT Rotterdam (Hillesluis)        ,"                €1,475 per month            ",100 m²
                        Apartment Laan op Zuid                            ,            3071 AB Rotterdam (Kop van Zuid - Entrepot)        ,"                €1,950 per month            ",96 m²
                        Apartment Bergselaan 151                            ,            3037 BH Rotterdam (Liskwartier)        ,"                €1,275 per month            ",50 m²
                        Apartment Voorhaven                            ,            3024 RM Rotterdam (Delfshaven)        ,"                €1,950 per month            ",105 m²
                        Apartment 's-Gravendijkwal                            ,            3014 EK Rotterdam (Oude Westen)        ,                €885 per month            ,28 m²
                        Apartment Vierambachtsstraat                            ,            3023 AR Rotterdam (Nieuwe Westen)        ,"                €1,095 per month            ",50 m²
                        Apartment Pannekoekstraat                            ,            3011 LK Rotterdam (Stadsdriehoek)        ,"                €1,750 per month            ",53 m²
                        Apartment Lepelaarsingel                            ,            3083 KP Rotterdam (Carnisse)        ,"                €1,195 per month            ",52 m²
                        Apartment Drinkwaterweg 58                            ,            3063 JC Rotterdam (De Esch)        ,"                €1,350 per month            ",70 m²
                        Apartment Straatweg 44 C                            ,            3051 BG Rotterdam (Hillegersberg Zuid)        ,"                €1,400 per month            ",94 m²
                        Apartment Sint-Janshaven                            ,            3087 ED Rotterdam (Oud Charlois)        ,"                €1,425 per month            ",77 m²
                        House Straatweg                            ,            3051 BM Rotterdam (Hillegersberg Zuid)        ,"                €1,650 per month            ",70 m²
                        Apartment Joost van Geelstraat                            ,            3021 VK Rotterdam (Middelland)        ,"                €1,300 per month            ",70 m²
                        Apartment Joost van Geelstraat                            ,            3021 VJ Rotterdam (Middelland)        ,"                €1,350 per month            ",70 m²
                        Apartment Walenburgerplein                            ,            3039 AM Rotterdam (Provenierswijk)        ,"                €1,550 per month            ",73 m²
                        Apartment Stadhoudersweg                            ,            3039 CK Rotterdam (Blijdorp)        ,"                €1,695 per month            ",114 m²
                        Apartment Borgesiusstraat                            ,            3038 TB Rotterdam (Bergpolder)        ,                €850 per month            ,50 m²
                        Apartment Schiedamsesingel                            ,            3012 BA Rotterdam (Cool)        ,"                €1,215 per month            ",54 m²
                        Apartment Koningslaan 3                            ,            3067 TG Rotterdam (Het Lage Land)        ,"                €2,100 per month            ",93 m²
